1;Afeganistao;406
2;Papuai-Nova Guine;322
3;Republica Centro-Africana;320
4;Nigeria;267
5;Chade;252
6;Coreia do Norte;249
7;Pequistao;207
8;Bangladesh;199
9;India;195
10;Croacia;150
